states,x_location,y_location
Andhra Pradesh,-64,-110
Tamil Nadu,-82,-223
Madhya Pradesh,-76,29
Rajasthan,-163,88
Karnataka,-122,-176
Gujarat,-186,12
Orissa,42,-34
Kerala,-117,-235
Jharkhand,44,19
Assam,180,81
Punjab,-119,164
Haryana,-108,125
Chhattisgarh,-3,-18
Jammu Kashmir,-98,231
Uttarakhand,-59,149
Himachal Pradesh,-99,190
Tripura,164,32
Meghalaya,151,66
Manipur,198,58
Nagaland,211,83
Goa,-157,-139
Arunachal Pradesh,210,132
Mizoram,187,24
Sikkim,105,104
Bihar,54,59
Uttar Pradesh,-43,88
West Bengal,95,14
Maharastra,-134,-59
Uttaranchal,-59,148